folder_name,material_name,indirect_band_gap,direct_band_gap,conc,temp,conductivity,seebeck,mobility,ke_ave,id,kappa-ave,PF,ZT
mp-1018098-done,Ba2BrN,,1.112,5e+20,300.0,8120.0,169.0,1.0,0.0395077950384521,1018098,1.1418866666666667,0.0002319153199999,0.05889192666398
mp-1018098-done,Ba2BrN,,1.112,5e+20,300.0,8120.0,169.0,1.0,0.0395097192696688,1018098,1.1418866666666667,0.0002319153199999,0.0588918307421666
mp-1018098-done,Ba2BrN,,1.112,1e+20,300.0,1900.0,293.0,1.2,0.0087495334260378,1018098,1.1418866666666667,0.0001631130999999,0.0425277164024802
mp-1018098-done,Ba2BrN,,1.112,5e+19,300.0,973.0,350.0,1.2,0.0044444455417305,1018098,1.1418866666666667,0.0001191924999999,0.0311932125187486
mp-1018098-done,Ba2BrN,,1.112,5e+19,300.0,973.0,350.0,1.2,0.0044446424725463,1018098,1.1418866666666667,0.0001191924999999,0.0311932071599969
mp-1018098-done,Ba2BrN,,1.112,5e+19,300.0,973.0,350.0,1.2,0.0044444455417305,1018098,1.1418866666666667,0.0001191924999999,0.0311932125187486
mp-1018098-done,Ba2BrN,,1.112,5e+19,300.0,973.0,350.0,1.2,0.0044446424725463,1018098,1.1418866666666667,0.0001191924999999,0.0311932071599969
mp-1018098-done,Ba2BrN,,1.112,1e+19,300.0,201.0,487.0,1.3,0.0009086340747997,1018098,1.1418866666666667,4.767096899999999e-05,0.0125143065347932
mp-1018098-done,Ba2BrN,,1.112,5e+18,300.0,102.0,546.0,1.3,0.000458303070339,1018098,1.1418866666666667,3.040783199999999e-05,0.0079856346739988
mp-1018098-done,Ba2BrN,,1.112,5e+18,300.0,102.0,546.0,1.3,0.0004583158869916,1018098,1.1418866666666667,3.040783199999999e-05,0.0079856345844032
mp-1018098-done,Ba2BrN,,1.112,5e+18,300.0,102.0,546.0,1.3,0.000458303070339,1018098,1.1418866666666667,3.040783199999999e-05,0.0079856346739988
mp-1018098-done,Ba2BrN,,1.112,5e+18,300.0,102.0,546.0,1.3,0.0004583158869916,1018098,1.1418866666666667,3.040783199999999e-05,0.0079856345844032
mp-1018098-done,Ba2BrN,,1.112,1e+18,300.0,20.8,683.0,1.3,9.341431593312558e-05,1018098,1.1418866666666667,9.7029712e-06,0.0025489861062159
mp-1018098-done,Ba2BrN,,1.112,1e+18,300.0,20.8,683.0,1.3,9.341044758653773e-05,1018098,1.1418866666666667,9.7029712e-06,0.0025489861148503
mp-1018098-done,Ba2BrN,,1.112,1e+18,300.0,20.8,683.0,1.3,9.341431593312558e-05,1018098,1.1418866666666667,9.7029712e-06,0.0025489861062159
mp-1018098-done,Ba2BrN,,1.112,1e+18,300.0,20.8,683.0,1.3,9.341044758653773e-05,1018098,1.1418866666666667,9.7029712e-06,0.0025489861148503
mp-1018098-done,Ba2BrN,,1.112,-1e+18,300.0,281.0,-509.0,17.5,0.0015583940025319,1018098,1.1418866666666667,7.280176099999999e-05,0.0191006363587052
mp-1018098-done,Ba2BrN,,1.112,-1e+18,300.0,281.0,-509.0,17.5,0.0015582219819099,1018098,1.1418866666666667,7.280176099999999e-05,0.0191006392322178
mp-1018098-done,Ba2BrN,,1.112,-1e+18,300.0,281.0,-509.0,17.5,0.0015583940025319,1018098,1.1418866666666667,7.280176099999999e-05,0.0191006363587052
mp-1018098-done,Ba2BrN,,1.112,-1e+18,300.0,281.0,-509.0,17.5,0.0015582219819099,1018098,1.1418866666666667,7.280176099999999e-05,0.0191006392322178
mp-1018098-done,Ba2BrN,,1.112,-5e+18,300.0,1380.0,-373.0,17.2,0.0077058128888198,1018098,1.1418866666666667,0.0001919980199999,0.0501041952033663
mp-1018098-done,Ba2BrN,,1.112,-5e+18,300.0,1380.0,-373.0,17.2,0.0077058185737212,1018098,1.1418866666666667,0.0001919980199999,0.0501041949555938
mp-1018098-done,Ba2BrN,,1.112,-5e+18,300.0,1380.0,-373.0,17.2,0.0077058128888198,1018098,1.1418866666666667,0.0001919980199999,0.0501041952033663
mp-1018098-done,Ba2BrN,,1.112,-5e+18,300.0,1380.0,-373.0,17.2,0.0077058185737212,1018098,1.1418866666666667,0.0001919980199999,0.0501041949555938
mp-1018098-done,Ba2BrN,,1.112,-1e+19,300.0,2710.0,-315.0,16.9,0.0153114691522337,1018098,1.1418866666666667,0.0002688997499999,0.0697114197672668
mp-1018098-done,Ba2BrN,,1.112,-5e+19,300.0,12600.0,-192.0,15.7,0.0741889551454086,1018098,1.1418866666666667,0.0004644864,0.1145865581881828
mp-1018098-done,Ba2BrN,,1.112,-5e+19,300.0,12600.0,-192.0,15.7,0.0741891475844089,1018098,1.1418866666666667,0.0004644864,0.1145865400553308
mp-1018098-done,Ba2BrN,,1.112,-5e+19,300.0,12600.0,-192.0,15.7,0.0741889551454086,1018098,1.1418866666666667,0.0004644864,0.1145865581881828
